Date	Open	High	Low	Close	Volume	Adj Close	SMA	2.0	5.0	EMA	2	5	MACD	SIGNAL	3.000	EMA	DIVERGENCE	5
2000-02-01	104	105	100	100.25	11380000	24.96				MULTIPLIER				SMA				
2000-02-02	100.75	102.12	97	98.81	16588800	24.6		99.5		0.6666666667	99.5			0.5				
2000-02-03	100.31	104.25	100.25	103.31	16977600	25.72		101.1			102.1							
2000-02-04	103.94	110	103.62	108	15206800	26.88		105.7		0.3333333333	106.0							
2000-02-07	108	114.25	105.94	114.06	15770800	28.39		111.0	104.9		111.4	104.9	6.493					
2000-02-08	114	116.12	111.25	114.87	14613600	28.59		114.5	107.8		113.7	108.2	5.492					
2000-02-09	114.12	117.12	112.44	112.62	10698000	28.03		113.7	110.6		113.0	109.7	3.299		5.095	5.095	-1.795	
2000-02-10	112.87	113.87	110	113.5	10832400	28.25		113.1	112.6		113.3	111.0	2.372		3.721	3.734	-1.361	
2000-02-11	113.62	114.12	108.25	108.75	7592000	27.07		111.1	112.8		110.3	110.2	0.056		1.909	1.895	-1.839	
2000-02-14	109.31	115.87	108.62	115.81	13130000	28.83		112.3	113.1		114.0	112.1	1.882		1.437	1.888	-0.006	
2000-02-15	115.25	119.94	115.19	119	17363600	29.62		117.4	113.9		117.3	114.4	2.933		1.623	2.411	0.522	
2000-02-16	117.75	118.12	112.12	114.12	13525200	28.41		116.6	114.2		115.2	114.3	0.888		1.901	1.649	-0.761	
2000-02-17	115.19	115.5	113.12	114.87	10350000	28.59		114.5	114.5		115.0	114.5	0.486		1.436	1.068	-0.582	
2000-02-18	114.62	115.37	110.87	111.25	8346800	27.69		113.1	115.0		112.5	113.4	-0.918		0.152	.075	-0.993	
2000-02-22	110.12	116.94	106.69	113.81	15083200	28.33		112.5	114.6		113.4	113.5	-0.172		-0.201	-.049	-0.124	
2000-02-23	113.23	119	111	116.25	16905600	28.94		115.0	114.1		115.3	114.4	0.845		-0.082	.398	0.447	
2000-02-24	117.31	119.12	111.75	115.2	13446400	28.68		115.7	114.3		115.2	114.7	0.533		0.402	.466	0.068	
2000-02-25	114.81	117	110.12	110.37	8908000	27.47		112.8	113.4		112.0	113.3	-1.265		0.038	-.400	-0.865	
2000-02-28	110.12	115	108.37	113.25	11729200	28.19		111.8	113.8		112.8	113.3	-0.423		-0.385	-.411	-0.012	
2000-02-29	113.56	117.25	112.56	114.62	13186800	28.53		113.9	113.9		114.0	113.7	0.315		-0.458	-.048	0.363	
2000-03-01	118.56	132.06	118.5	130.31	38478000	32.44		122.5	116.8		124.9	119.2	5.639		1.843	2.795	2.843	
2000-03-02	127	127.94	120.69	122	11136800	30.37		126.2	118.1		123.0	120.2	2.799		2.917	2.797	0.002	
2000-03-03	124.87	128.23	120	128	11565200	31.86		125.0	121.6		126.3	122.8	3.546		3.994	3.171	0.374	
2000-03-06	126	129.13	125	125.69	7520000	31.29		126.8	124.1		125.9	123.7	2.154		2.833	2.663	-0.509	
2000-03-07	126.44	127.44	121.12	122.87	9767600	30.59		124.3	125.8		123.9	123.5	0.426		2.042	1.544	-1.118	
2000-03-08	122.87	123.94	118.56	122	9690800	30.37		122.4	124.1		122.6	123.0	-0.343		0.746	.601	-0.943	
2000-03-09	120.87	125	118.25	122.25	9884400	30.43		122.1	124.2		122.4	122.7	-0.354		-0.090	.123	-0.477	
2000-03-10	121.69	127.94	121	125.75	8900800	31.3		124.0	123.7		124.6	123.7	0.889		0.064	.506	0.383	
2000-03-13	122.12	126.5	119.5	121.31	10864400	30.2		123.5	122.8		122.4	122.9	-0.513		0.007	-.003	-0.509	
2000-03-14	121.22	124.25	114	114.25	15321200	28.44		117.8	121.1		117.0	120.0	-3.063		-0.896	-1.533	-1.530	
2000-03-15	115.62	120.25	114.12	116.25	15845200	28.94		115.3	120.0		116.5	118.8	-2.283		-1.953	-1.908	-0.375	
2000-03-16	117.31	122	114.5	121.56	13516800	30.26		118.9	119.8		119.9	119.7	0.168		-1.726	-.870	1.038	
2000-03-17	120.12	125	119.62	125	10902400	31.12		123.3	119.7		123.3	121.5	1.822		-0.098	.476	1.346	
2000-03-20	123.5	126.25	122.37	123	7316400	30.62		124.0	120.0		123.1	122.0	1.118		1.036	.797	0.321	
2000-03-21	122.56	136.75	121.62	134.94	18729200	33.59		129.0	124.2		131.0	126.3	4.693		2.544	2.745	1.948	
2000-03-22	132.78	144.38	131.56	144.19	20288800	35.89		139.6	129.7		139.8	132.3	7.528		4.446	5.136	2.391	
2000-03-23	142	150.38	140	141.31	20098000	35.18		142.8	133.7		140.8	135.3	5.525		5.915	5.331	0.194	
2000-03-24	142.44	143.94	135.5	138.69	15962000	34.52		140.0	136.4		139.4	136.4	2.979		5.344	4.155	-1.176	
2000-03-27	137.63	144.75	136.88	139.56	9976800	34.74		139.1	139.7		139.5	137.5	2.041		3.515	3.098	-1.057	
2000-03-28	137.25	142	137.13	139.13	7253600	34.63		139.3	140.6		139.3	138.0	1.236		2.085	2.167	-0.931	
2000-03-29	139.38	139.44	133.83	135.94	8568800	33.84		137.5	138.9		137.0	137.3	-0.281		0.999	.943	-1.224	
2000-03-30	133.56	137.69	125.44	125.75	14800000	31.3		130.8	135.8		129.5	133.5	-3.952		-0.999	-1.505	-2.448	
2000-03-31	127.44	137.25	126	135.81	14457600	33.81		130.8	135.2		133.7	134.2	-0.537		-1.590	-1.021	0.484	
2000-04-03	135.5	139.5	129.44	133.31	11742400	33.19		134.6	134.0		133.4	133.9	-0.492		-1.660	-.756	0.265	
2000-04-04	132.63	133	116.75	127.31	23596400	31.69		130.3	131.6		129.4	131.7	-2.372		-1.134	-1.564	-0.808	
2000-04-05	126.47	132.88	124	130.38	16359200	32.46		128.8	130.5		130.0	131.3	-1.240		-1.368	-1.402	0.162	
2000-04-06	130.63	134.5	123.25	125.19	9290800	31.16		127.8	130.4		126.8	129.2	-2.443		-2.018	-1.922	-0.520	
2000-04-07	127.25	131.88	125.5	131.75	8668800	32.8		128.5	129.6		130.1	130.1	0.020		-1.221	-.951	0.971	
2000-04-10	131.69	132.75	124.75	125	7592400	31.12		128.4	127.9		126.7	128.4	-1.688		-1.370	-1.319	-0.368	
2000-04-11	123.5	124.87	118.06	119.44	19368000	29.73		122.2	126.4		121.9	125.4	-3.545		-1.738	-2.432	-1.113	
2000-04-12	119	119	104.87	109.25	33618800	27.2		114.3	122.1		113.5	120.0	-6.567		-3.933	-4.500	-2.067	
2000-04-13	111.5	120	108.5	113.81	18923600	28.33		111.5	119.9		113.7	118.0	-4.259		-4.790	-4.379	0.120	
2000-04-14	109.31	118	109	111.87	23845600	27.85		112.8	115.9		112.5	115.9	-3.446		-4.757	-3.913	0.466	
2000-04-17	109.5	123.94	109.06	123.87	14642400	30.84		117.9	115.6		120.1	118.6	1.500		-2.069	-1.206	2.706	
2000-04-18	123.5	126.87	119.37	126.87	13962400	31.58		125.4	117.1		124.6	121.3	3.266		0.440	1.030	2.236	
2000-04-19	126.19	130.25	119.75	121.12	18586400	30.15		124.0	119.5		122.3	121.3	1.016		1.927	1.023	-0.007	
2000-04-20	123.69	124.75	117.06	118.87	25806800	29.59		120.0	120.5		120.0	120.5	-0.460		1.274	.281	-0.741	
2000-04-24	115	120.5	114.75	120.5	15845600	30		119.7	122.2		120.3	120.5	-0.142		0.138	.070	-0.212	
2000-04-25	122.12	128.75	122.06	128.31	14002400	31.94		124.4	123.1		125.7	123.1	2.563		0.654	1.316	1.247	
2000-04-26	126.62	128	120	121.31	13117600	30.2		124.8	122.0		122.8	122.5	0.262		0.894	.789	-0.527	
2000-04-27	117.19	127	116.58	126.75	11678000	31.55		124.0	123.1		125.4	123.9	1.505		1.443	1.147	0.358	
2000-04-28	127.12	127.5	121.31	124.06	8932400	30.88		125.4	124.2		124.5	124.0	0.550		0.772	.849	-0.298	
2000-05-01	124.87	125.12	121.87	124.31	8100000	30.94		124.2	124.9		124.4	124.1	0.299		0.785	.574	-0.275	
2000-05-02	123.25	126.25	117.5	117.87	8446400	29.34		121.1	122.9		120.0	122.0	-1.970		-0.373	-.698	-1.272	
2000-05-03	118.94	121.25	111.62	115.06	17500000	28.64		116.5	121.6		116.7	119.7	-2.973		-1.548	-1.835	-1.138	
2000-05-04	115.12	115.25	110.56	110.69	14284400	27.55		112.9	118.4		112.7	116.7	-3.992		-2.978	-2.914	-1.078	
2000-05-05	110.81	114.75	110.72	113.12	10160000	28.16		111.9	116.2		113.0	115.5	-2.521		-3.162	-2.717	0.196	
2000-05-08	112.09	113.69	110	110.12	6605600	27.41		111.6	113.4		111.1	113.7	-2.634		-3.049	-2.676	0.042	
2000-05-09	110.31	111.25	104.87	105.44	11685600	26.25		107.8	110.9		107.3	111.0	-3.634		-2.930	-3.155	-0.479	
2000-05-10	104.06	105	98.75	99.31	19127600	24.72		102.4	107.7		102.0	107.1	-5.092		-3.787	-4.123	-0.969	
2000-05-11	101.37	104.25	99	102.81	17852400	25.59		101.1	106.2		102.5	105.7	-3.118		-3.948	-3.620	0.503	
2000-05-12	106	110.5	104.77	107.62	10962000	26.79		105.2	105.1		105.9	106.3	-0.383		-2.864	-2.002	1.619	
2000-05-15	108.06	108.06	100.12	101	24252000	25.14		104.3	103.2		102.6	104.5	-1.897		-1.799	-1.949	0.052	
2000-05-16	104.52	109.06	102.75	105.69	15736400	26.31		103.3	103.3		104.7	104.9	-0.248		-0.843	-1.099	0.850	
2000-05-17	103.62	103.69	100.37	101.37	14227600	25.23		103.5	103.7		102.5	103.7	-1.267		-1.137	-1.183	-0.084	
2000-05-18	103	104.94	100.62	100.75	13365600	25.08		101.1	103.3		101.3	102.7	-1.418		-0.978	-1.301	-0.118	
2000-05-19	99.25	99.25	93.37	94	26459200	23.4		97.4	100.6		96.4	99.8	-3.387		-2.024	-2.344	-1.043	
2000-05-22	93.75	93.75	86	89.94	26995200	22.39		92.0	98.4		92.1	96.5	-4.425		-3.077	-3.384	-1.041	
2000-05-23	90.5	93.37	85.62	85.81	18488000	21.36		87.9	94.4		87.9	93.0	-5.049		-4.287	-4.217	-0.832	
2000-05-24	86.19	89.75	83	87.69	24248000	21.83		86.8	91.6		87.8	91.2	-3.439		-4.304	-3.828	0.389	
2000-05-25	88.5	92.66	86	87.27	14530800	21.72		87.5	88.9		87.4	89.9	-2.457		-3.648	-3.142	0.685	
2000-05-26	88	89.87	85.25	86.37	6486400	21.5		86.8	87.4		86.7	88.7	-1.993		-2.630	-2.568	0.575	
2000-05-30	87.62	88.12	81.75	87.56	25481200	21.8		87.0	86.9		87.3	88.3	-1.050		-1.833	-1.809	0.759	
2000-05-31	86.87	91.25	83.81	84	15483600	20.91		85.8	86.6		85.1	86.9	-1.794		-1.612	-1.801	0.007	
2000-06-01	81.75	89.56	80.37	89.12	32280000	22.18		86.6	86.9		87.8	87.6	0.146		-0.899	-.828	0.974	
2000-06-02	93.75	99.75	89	92.56	28336400	23.04		90.8	87.9		91.0	89.3	1.691		0.015	.432	1.260	
2000-06-05	93.31	95.25	89.69	91.31	11582000	22.73		91.9	88.9		91.2	90.0	1.242		1.027	.837	0.405	
2000-06-06	91.97	96.75	90.31	92.87	18771200	23.12		92.1	90.0		92.3	90.9	1.386		1.440	1.112	0.275	
2000-06-07	93.62	97	91.62	96.56	12056800	24.04		94.7	92.5		95.1	92.8	2.340		1.656	1.726	0.614	
2000-06-08	97.62	98.5	93.12	94.81	8540800	23.6		95.7	93.6		94.9	93.5	1.449		1.725	1.587	-0.139	
2000-06-09	96.75	97.94	94.37	95.75	9020000	23.84		95.3	94.3		95.5	94.2	1.242		1.677	1.415	-0.173	
2000-06-12	96.37	96.44	90.87	91.19	10374400	22.7		93.5	94.2		92.6	93.2	-0.600		0.697	.408	-1.007	
2000-06-13	91.19	94.69	88.19	94.5	12570000	23.52		92.8	94.6		93.9	93.6	0.227		0.290	.318	-0.090	
2000-06-14	94.69	96.25	90.12	90.44	9925200	22.51		92.5	93.3		91.6	92.6	-0.993		-0.455	-.338	-0.655	
2000-06-15	91.25	93.37	89	92.37	8898800	22.99		91.4	92.9		92.1	92.5	-0.400		-0.388	-.369	-0.031	
2000-06-16	93.5	93.75	89.06	91.19	10842400	22.7		91.8	91.9		91.5	92.1	-0.573		-0.655	-.471	-0.102	
2000-06-19	90.56	97.87	89.81	96.62	14089200	24.05		93.9	93.0		94.9	93.6	1.326		0.118	.428	0.898	
2000-06-20	98.5	103.94	98.37	101.25	17922000	25.2		98.9	94.4		99.1	96.1	2.997		1.250	1.712	1.285	
2000-06-21	50.5	56.94	50.31	55.63	17500000	27.7		78.4	87.4		70.1	82.6	-12.505		-2.727	-5.396	-7.108	
2000-06-22	55.75	57.63	53.56	53.75	16706200	26.76		54.7	79.7		59.2	73.0	-13.797		-7.768	-9.597	-4.201	
2000-06-23	53.78	54.63	50.81	51.69	7320400	25.73		52.7	71.8		54.2	65.9	-11.705		-12.669	-10.651	-1.054	
2000-06-26	52.5	54.75	52.13	54.13	6631000	26.95		52.9	63.3		54.2	62.0	-7.826		-11.109	-9.238	1.413	
